namespace,pdb,policy,selector,currentHealthy,desiredHealthy,allowed,totalPods,risk_flags,recommendation
sb-nhs-fe,doisoat-frontend-api-uat-live,minAvailable,"app=doisoat-frontend-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,doisoat-frontend-web-uat-live,minAvailable,"app=doisoat-frontend-web",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,doisoat-ms-admin-fe-api-uat-live,minAvailable,"app=doisoat-ms-admin-fe-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,doisoat-ms-remittance-fe-api-uat-live,minAvailable,"app=doisoat-ms-remittance-fe-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,graphql-doisoat-uat-r22-live,minAvailable,"app=graphql-doisoat",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,graphql-los-uat-r22-live,minAvailable,"app=graphql-los",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,sea-ews-api-uat-live,minAvailable,"app=sea-ews-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,sea-ews-web-uat-live,minAvailable,"app=sea-ews-web",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seaapp-frontend-uat-live,minAvailable,"app=seaapp-frontend",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seaapp-mfe-tt15-uat-live,minAvailable,"app=seaapp-mfe-tt15",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seamileage-api-uat-live,minAvailable,"app=seamileage-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seamileage-web-uat-live,minAvailable,"app=seamileage-web",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapayment-mms-api-uat-live,minAvailable,"app=seapayment-mms-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapayment-mms-web-uat-live,minAvailable,"app=seapayment-mms-web",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapayment-ms-notification-uat-live,minAvailable,"app=seapayment-ms-notification",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapaypro-api-uat-live,minAvailable,"app=seapaypro-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapaypro-ms-kttc-api-uat-live,minAvailable,"app=seapaypro-ms-kttc-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,seapaypro-web-uat-live,minAvailable,"app=seapaypro-web",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe-dev,doi-soat-frontend-dev-main,minAvailable,"app=doi-soat-frontend",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe-dev,qlns-angular-client-dev-main,minAvailable,"app=qlns-angular-client",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
